7.065311,32.98054
11.19661,5.963741
10.83332,35.43111
11.69758,29.29619
16.11699,2.686182
19.50506,28.57845
20.29434,6.904354
19.97656,35.26089
20.49494,28.42155
21.59175,6.85202
21.81386,15.27501
24.46512,15.48506
24.94841,37.48552
27.14696,4.608015
26.91198,15.69024
26.64125,37.45181
29.706,8.877696
31.50506,27.57845
32.49494,27.42155
35.83064,38.53543
39.16936,40.46457
41.49672,1.445602
42.5,34
44.48333,41.47626
45.67077,11.57414
48.52428,5.426545
49.61174,5.62074
49.83971,34.14481
50.49494,12.57845
52.54599,41.18407
57.50506,12.57845
56.639,41.60186
58.49494,12.42155
61.50506,5.578447
61.50506,26.57845
61.30242,41.70381
62.49494,26.42155
63.88852,5.04908
64.69758,40.29619
68,11
70.38825,39.62074
73.50507,25.57845
74.49493,25.42155
76.63155,2.251507
79.47987,35.54882
79.72131,9.486567
81.38825,25.37926
83.50001,26
83.60141,3.470418
84.13233,33.67075
87.52217,13.4852
88.17806,29.16588
91.8244,13.87905
92.33376,26.24339
93.71426,26.12428
98.72276,5.68351
98.82812,58.82812
